Domain,NLP Task,Value
Electronic engineering,semantic parsing,0
Electronic engineering,semantic role labelling,0
Electronic engineering,coreference resolution,0
Electronic engineering,discourse analysis,0
Electronic engineering,implicit semantic role labelling,0
Electronic engineering,recognizing textual entailment,0
Electronic engineering,topic segmentation,0
Electronic engineering,argument mining,0
Electronic engineering,anaphora resolution,0
Information engineering,optical character recognition,0
Information engineering,speech recognition,0
Information engineering,speech segmentation,0
Information engineering,text-to-speech,0
Information engineering,word segmentation,0
Information engineering,lemmatization,0
Information engineering,morphological segmentation,0
Information engineering,part-of-speech tagging,0
Information engineering,stemming,0
Information engineering,grammar induction,0
Information engineering,sentence breaking ,0
Information engineering,parsing,0
Information engineering,lexical semantics,0
Information engineering,distributional semantics,0
Information engineering,named entity recognition,0
Information engineering,sentiment analysis,0
Information engineering,terminology extraction,0
Information engineering,word-sense disambiguation,0
Information engineering,entity linking,0
Information engineering,multiword expressions,0
Information engineering,relationship extraction,0
Information engineering,semantic parsing,0
Information engineering,semantic role labelling,0
Information engineering,coreference resolution,0
Information engineering,discourse analysis,0
Information engineering,implicit semantic role labelling,0
Information engineering,recognizing textual entailment,0
Information engineering,topic segmentation,0
Information engineering,argument mining,0
Information engineering,anaphora resolution,0
Mechanical engineering,optical character recognition,0
Mechanical engineering,speech recognition,0
Mechanical engineering,speech segmentation,0
Mechanical engineering,text-to-speech,0
Mechanical engineering,word segmentation,0
Mechanical engineering,lemmatization,0
Mechanical engineering,morphological segmentation,0
Mechanical engineering,part-of-speech tagging,0
Mechanical engineering,stemming,0
Mechanical engineering,grammar induction,0
Mechanical engineering,sentence breaking ,0
Mechanical engineering,parsing,0
Mechanical engineering,lexical semantics,0
Mechanical engineering,distributional semantics,0
Mechanical engineering,named entity recognition,0
Mechanical engineering,sentiment analysis,0
Mechanical engineering,terminology extraction,0
Mechanical engineering,word-sense disambiguation,0
Mechanical engineering,entity linking,0
Mechanical engineering,multiword expressions,0
Mechanical engineering,relationship extraction,0
Mechanical engineering,semantic parsing,0
Mechanical engineering,semantic role labelling,0
Mechanical engineering,coreference resolution,0
Mechanical engineering,discourse analysis,0
Mechanical engineering,implicit semantic role labelling,0
Mechanical engineering,recognizing textual entailment,0
Mechanical engineering,topic segmentation,0
Mechanical engineering,argument mining,0
Mechanical engineering,anaphora resolution,0
Chemical engineering,optical character recognition,0
Chemical engineering,speech recognition,0
Chemical engineering,speech segmentation,0
Chemical engineering,text-to-speech,0
Chemical engineering,word segmentation,0
Chemical engineering,lemmatization,0
Chemical engineering,morphological segmentation,0
Chemical engineering,part-of-speech tagging,0
Chemical engineering,stemming,0
Chemical engineering,grammar induction,0
Chemical engineering,sentence breaking ,0
Chemical engineering,parsing,0
Chemical engineering,lexical semantics,0
Chemical engineering,distributional semantics,0
Chemical engineering,named entity recognition,0
Chemical engineering,sentiment analysis,0
Chemical engineering,terminology extraction,0
Chemical engineering,word-sense disambiguation,0
Chemical engineering,entity linking,0
Chemical engineering,multiword expressions,0
Chemical engineering,relationship extraction,0
Chemical engineering,semantic parsing,0
Chemical engineering,semantic role labelling,0
Chemical engineering,coreference resolution,0
Chemical engineering,discourse analysis,0
Chemical engineering,implicit semantic role labelling,0
Chemical engineering,recognizing textual entailment,0
Chemical engineering,topic segmentation,0
Chemical engineering,argument mining,0
Chemical engineering,anaphora resolution,0
Materials engineering,optical character recognition,0
Materials engineering,speech recognition,0
Materials engineering,speech segmentation,0
Materials engineering,text-to-speech,0
Materials engineering,word segmentation,0
Materials engineering,lemmatization,0
Materials engineering,morphological segmentation,0
Materials engineering,part-of-speech tagging,0
Materials engineering,stemming,0
Materials engineering,grammar induction,0
Materials engineering,sentence breaking ,0
Materials engineering,parsing,0
Materials engineering,lexical semantics,0
Materials engineering,distributional semantics,0
Materials engineering,named entity recognition,0
Materials engineering,sentiment analysis,0
Materials engineering,terminology extraction,0
Materials engineering,word-sense disambiguation,0
Materials engineering,entity linking,0
Materials engineering,multiword expressions,0
Materials engineering,relationship extraction,0
Materials engineering,semantic parsing,0
Materials engineering,semantic role labelling,0
Materials engineering,coreference resolution,0
Materials engineering,discourse analysis,0
Materials engineering,implicit semantic role labelling,0
Materials engineering,recognizing textual entailment,0
Materials engineering,topic segmentation,0
Materials engineering,argument mining,0
Materials engineering,anaphora resolution,0
Medical engineering,optical character recognition,0
Medical engineering,speech recognition,0
Medical engineering,speech segmentation,0
Medical engineering,text-to-speech,0
Medical engineering,word segmentation,0
Medical engineering,lemmatization,0
Medical engineering,morphological segmentation,0
Medical engineering,part-of-speech tagging,0
Medical engineering,stemming,0
Medical engineering,grammar induction,0
Medical engineering,sentence breaking ,0
Medical engineering,parsing,0
Medical engineering,lexical semantics,0
Medical engineering,distributional semantics,0
Medical engineering,named entity recognition,0
Medical engineering,sentiment analysis,0
Medical engineering,terminology extraction,0
Medical engineering,word-sense disambiguation,0
Medical engineering,entity linking,0
Medical engineering,multiword expressions,0
Medical engineering,relationship extraction,0
Medical engineering,semantic parsing,0
Medical engineering,semantic role labelling,0
Medical engineering,coreference resolution,0
Medical engineering,discourse analysis,0
Medical engineering,implicit semantic role labelling,0
Medical engineering,recognizing textual entailment,0
Medical engineering,topic segmentation,0
Medical engineering,argument mining,0
Medical engineering,anaphora resolution,0
Environmental engineering,optical character recognition,0
Environmental engineering,speech recognition,0
Environmental engineering,speech segmentation,0
Environmental engineering,text-to-speech,0
Environmental engineering,word segmentation,0
Environmental engineering,lemmatization,0
Environmental engineering,morphological segmentation,0
Environmental engineering,part-of-speech tagging,0
Environmental engineering,stemming,0
Environmental engineering,grammar induction,0
Environmental engineering,sentence breaking ,0
Environmental engineering,parsing,0
Environmental engineering,lexical semantics,0
Environmental engineering,distributional semantics,0
Environmental engineering,named entity recognition,0
Environmental engineering,sentiment analysis,0
Environmental engineering,terminology extraction,0
Environmental engineering,word-sense disambiguation,0
Environmental engineering,entity linking,0
Environmental engineering,multiword expressions,0
Environmental engineering,relationship extraction,0
Environmental engineering,semantic parsing,0
Environmental engineering,semantic role labelling,0
Environmental engineering,coreference resolution,0
Environmental engineering,discourse analysis,0
Environmental engineering,implicit semantic role labelling,0
Environmental engineering,recognizing textual entailment,0
Environmental engineering,topic segmentation,0
Environmental engineering,argument mining,0
Environmental engineering,anaphora resolution,0
Environmental biotechnology,optical character recognition,0
Environmental biotechnology,speech recognition,0
Environmental biotechnology,speech segmentation,0
Environmental biotechnology,text-to-speech,0
Environmental biotechnology,word segmentation,0
Environmental biotechnology,lemmatization,0
Environmental biotechnology,morphological segmentation,0
Environmental biotechnology,part-of-speech tagging,0
Environmental biotechnology,stemming,0
Environmental biotechnology,grammar induction,0
Environmental biotechnology,sentence breaking ,0
Environmental biotechnology,parsing,0
Environmental biotechnology,lexical semantics,0
Environmental biotechnology,distributional semantics,0
Environmental biotechnology,named entity recognition,0
Environmental biotechnology,sentiment analysis,0
Environmental biotechnology,terminology extraction,0
Environmental biotechnology,word-sense disambiguation,0
Environmental biotechnology,entity linking,0
Environmental biotechnology,multiword expressions,0
Environmental biotechnology,relationship extraction,0
Environmental biotechnology,semantic parsing,0
Environmental biotechnology,semantic role labelling,0
Environmental biotechnology,coreference resolution,0
Environmental biotechnology,discourse analysis,0
Environmental biotechnology,implicit semantic role labelling,0
Environmental biotechnology,recognizing textual entailment,0
Environmental biotechnology,topic segmentation,0
Environmental biotechnology,argument mining,0
Environmental biotechnology,anaphora resolution,0
Industrial biotechnology,optical character recognition,0
Industrial biotechnology,speech recognition,0
Industrial biotechnology,speech segmentation,0
Industrial biotechnology,text-to-speech,0
Industrial biotechnology,word segmentation,0
Industrial biotechnology,lemmatization,0
Industrial biotechnology,morphological segmentation,0
Industrial biotechnology,part-of-speech tagging,0
Industrial biotechnology,stemming,0
Industrial biotechnology,grammar induction,0
Industrial biotechnology,sentence breaking ,0
Industrial biotechnology,parsing,0
Industrial biotechnology,lexical semantics,0
Industrial biotechnology,distributional semantics,0
Industrial biotechnology,named entity recognition,0
Industrial biotechnology,sentiment analysis,0
Industrial biotechnology,terminology extraction,0
Industrial biotechnology,word-sense disambiguation,0
Industrial biotechnology,entity linking,0
Industrial biotechnology,multiword expressions,0
Industrial biotechnology,relationship extraction,0
Industrial biotechnology,semantic parsing,0
Industrial biotechnology,semantic role labelling,0
Industrial biotechnology,coreference resolution,0
Industrial biotechnology,discourse analysis,0
Industrial biotechnology,implicit semantic role labelling,0
Industrial biotechnology,recognizing textual entailment,0
Industrial biotechnology,topic segmentation,0
Industrial biotechnology,argument mining,0
Industrial biotechnology,anaphora resolution,0
Nano-technology,optical character recognition,0
Nano-technology,speech recognition,0
Nano-technology,speech segmentation,0
Nano-technology,text-to-speech,0
Nano-technology,word segmentation,0
Nano-technology,lemmatization,0
Nano-technology,morphological segmentation,0
Nano-technology,part-of-speech tagging,0
Nano-technology,stemming,0
Nano-technology,grammar induction,0
Nano-technology,sentence breaking ,0
Nano-technology,parsing,0
Nano-technology,lexical semantics,0
Nano-technology,distributional semantics,0
Nano-technology,named entity recognition,0
Nano-technology,sentiment analysis,0
Nano-technology,terminology extraction,0
Nano-technology,word-sense disambiguation,0
Nano-technology,entity linking,0
Nano-technology,multiword expressions,0
Nano-technology,relationship extraction,0
Nano-technology,semantic parsing,0
Nano-technology,semantic role labelling,0
Nano-technology,coreference resolution,0
Nano-technology,discourse analysis,0
Nano-technology,implicit semantic role labelling,0
Nano-technology,recognizing textual entailment,0
Nano-technology,topic segmentation,0
Nano-technology,argument mining,0
Nano-technology,anaphora resolution,0
Agriculture,optical character recognition,0
Agriculture,speech recognition,0
Agriculture,speech segmentation,0
Agriculture,text-to-speech,0
Agriculture,word segmentation,0
Agriculture,lemmatization,0
Agriculture,morphological segmentation,0
Agriculture,part-of-speech tagging,0
Agriculture,stemming,0
Agriculture,grammar induction,0
Agriculture,sentence breaking ,0
Agriculture,parsing,0
Agriculture,lexical semantics,0
Agriculture,distributional semantics,0
Agriculture,named entity recognition,0
Agriculture,sentiment analysis,0
Agriculture,terminology extraction,0
Agriculture,word-sense disambiguation,0
Agriculture,entity linking,0
Agriculture,multiword expressions,0
Agriculture,relationship extraction,0
Agriculture,semantic parsing,0
Agriculture,semantic role labelling,0
Agriculture,coreference resolution,0
Agriculture,discourse analysis,0
Agriculture,implicit semantic role labelling,0
Agriculture,recognizing textual entailment,0
Agriculture,topic segmentation,0
Agriculture,argument mining,0
Agriculture,anaphora resolution,0
Forestry,optical character recognition,0
Forestry,speech recognition,0
Forestry,speech segmentation,0
Forestry,text-to-speech,0
Forestry,word segmentation,0
Forestry,lemmatization,0
Forestry,morphological segmentation,0
Forestry,part-of-speech tagging,0
Forestry,stemming,0
Forestry,grammar induction,0
Forestry,sentence breaking ,0
Forestry,parsing,0
Forestry,lexical semantics,0
Forestry,distributional semantics,0
Forestry,named entity recognition,0
Forestry,sentiment analysis,0
Forestry,terminology extraction,0
Forestry,word-sense disambiguation,0
Forestry,entity linking,0
Forestry,multiword expressions,0
Forestry,relationship extraction,0
Forestry,semantic parsing,0
Forestry,semantic role labelling,0
Forestry,coreference resolution,0
Forestry,discourse analysis,0
Forestry,implicit semantic role labelling,0
Forestry,recognizing textual entailment,0
Forestry,topic segmentation,0
Forestry,argument mining,0
Forestry,anaphora resolution,0
Fisheries,optical character recognition,0
Fisheries,speech recognition,0
Fisheries,speech segmentation,0
Fisheries,text-to-speech,0
Fisheries,word segmentation,0
Fisheries,lemmatization,0
Fisheries,morphological segmentation,0
Fisheries,part-of-speech tagging,0
Fisheries,stemming,0
Fisheries,grammar induction,0
Fisheries,sentence breaking ,0
Fisheries,parsing,0
Fisheries,lexical semantics,0
Fisheries,distributional semantics,0
Fisheries,named entity recognition,0
Fisheries,sentiment analysis,0
Fisheries,terminology extraction,0
Fisheries,word-sense disambiguation,0
Fisheries,entity linking,0
Fisheries,multiword expressions,0
Fisheries,relationship extraction,0
Fisheries,semantic parsing,0
Fisheries,semantic role labelling,0
Fisheries,coreference resolution,0
Fisheries,discourse analysis,0
Fisheries,implicit semantic role labelling,0
Fisheries,recognizing textual entailment,0
Fisheries,topic segmentation,0
Fisheries,argument mining,0
Fisheries,anaphora resolution,0
Animal and dairy science,optical character recognition,0
Animal and dairy science,speech recognition,0
Animal and dairy science,speech segmentation,0
Animal and dairy science,text-to-speech,0
Animal and dairy science,word segmentation,0
Animal and dairy science,lemmatization,0
Animal and dairy science,morphological segmentation,0
Animal and dairy science,part-of-speech tagging,0
Animal and dairy science,stemming,0
Animal and dairy science,grammar induction,0
Animal and dairy science,sentence breaking ,0
Animal and dairy science,parsing,0
Animal and dairy science,lexical semantics,0
Animal and dairy science,distributional semantics,0
Animal and dairy science,named entity recognition,0
Animal and dairy science,sentiment analysis,0
Animal and dairy science,terminology extraction,0
Animal and dairy science,word-sense disambiguation,0
Animal and dairy science,entity linking,0
Animal and dairy science,multiword expressions,0
Animal and dairy science,relationship extraction,0
Animal and dairy science,semantic parsing,0
Animal and dairy science,semantic role labelling,0
Animal and dairy science,coreference resolution,0
Animal and dairy science,discourse analysis,0
Animal and dairy science,implicit semantic role labelling,0
Animal and dairy science,recognizing textual entailment,0
Animal and dairy science,topic segmentation,0
Animal and dairy science,argument mining,0
Animal and dairy science,anaphora resolution,0
Veterenary,optical character recognition,0
Veterenary,speech recognition,0
Veterenary,speech segmentation,0
Veterenary,text-to-speech,0
Veterenary,word segmentation,0
Veterenary,lemmatization,0
Veterenary,morphological segmentation,0
Veterenary,part-of-speech tagging,0
Veterenary,stemming,0
Veterenary,grammar induction,0
Veterenary,sentence breaking ,0
Veterenary,parsing,0
Veterenary,lexical semantics,0
Veterenary,distributional semantics,0
Veterenary,named entity recognition,0
Veterenary,sentiment analysis,0
Veterenary,terminology extraction,0
Veterenary,word-sense disambiguation,0
Veterenary,entity linking,0
Veterenary,multiword expressions,0
Veterenary,relationship extraction,0
Veterenary,semantic parsing,0
Veterenary,semantic role labelling,0
Veterenary,coreference resolution,0
Veterenary,discourse analysis,0
Veterenary,implicit semantic role labelling,0
Veterenary,recognizing textual entailment,0
Veterenary,topic segmentation,0
Veterenary,argument mining,0
Veterenary,anaphora resolution,0
Agricultural biotechnology,optical character recognition,0
Agricultural biotechnology,speech recognition,0
Agricultural biotechnology,speech segmentation,0
Agricultural biotechnology,text-to-speech,0
Agricultural biotechnology,word segmentation,0
Agricultural biotechnology,lemmatization,0
Agricultural biotechnology,morphological segmentation,0
Agricultural biotechnology,part-of-speech tagging,0
Agricultural biotechnology,stemming,0
Agricultural biotechnology,grammar induction,0
Agricultural biotechnology,sentence breaking ,0
Agricultural biotechnology,parsing,0
Agricultural biotechnology,lexical semantics,0
Agricultural biotechnology,distributional semantics,0
Agricultural biotechnology,named entity recognition,0
Agricultural biotechnology,sentiment analysis,0
Agricultural biotechnology,terminology extraction,0
Agricultural biotechnology,word-sense disambiguation,0
Agricultural biotechnology,entity linking,0
Agricultural biotechnology,multiword expressions,0
Agricultural biotechnology,relationship extraction,0
Agricultural biotechnology,semantic parsing,0
Agricultural biotechnology,semantic role labelling,0
Agricultural biotechnology,coreference resolution,0
Agricultural biotechnology,discourse analysis,0
Agricultural biotechnology,implicit semantic role labelling,0
Agricultural biotechnology,recognizing textual entailment,0
Agricultural biotechnology,topic segmentation,0
Agricultural biotechnology,argument mining,0
Agricultural biotechnology,anaphora resolution,0
Psychology,optical character recognition,0
Psychology,speech recognition,0
Psychology,speech segmentation,0
Psychology,text-to-speech,0
Psychology,word segmentation,0
Psychology,lemmatization,0
Psychology,morphological segmentation,0
Psychology,part-of-speech tagging,0
Psychology,stemming,0
Psychology,grammar induction,0
Psychology,sentence breaking ,0
Psychology,parsing,0
Psychology,lexical semantics,0
Psychology,distributional semantics,0
Psychology,named entity recognition,0
Psychology,sentiment analysis,0
Psychology,terminology extraction,0
Psychology,word-sense disambiguation,0
Psychology,entity linking,0
Psychology,multiword expressions,0
Psychology,relationship extraction,0
Psychology,semantic parsing,0
Psychology,semantic role labelling,0
Psychology,coreference resolution,0
Psychology,discourse analysis,0
Psychology,implicit semantic role labelling,0
Psychology,recognizing textual entailment,0
Psychology,topic segmentation,0
Psychology,argument mining,0
Psychology,anaphora resolution,0
Cognitive sciences,optical character recognition,0
Cognitive sciences,speech recognition,0
Cognitive sciences,speech segmentation,0
Cognitive sciences,text-to-speech,0
Cognitive sciences,word segmentation,0
Cognitive sciences,lemmatization,0
Cognitive sciences,morphological segmentation,0
Cognitive sciences,part-of-speech tagging,0
Cognitive sciences,stemming,0
Cognitive sciences,grammar induction,0
Cognitive sciences,sentence breaking ,0
Cognitive sciences,parsing,0
Cognitive sciences,lexical semantics,0
Cognitive sciences,distributional semantics,0
Cognitive sciences,named entity recognition,0
Cognitive sciences,sentiment analysis,0
Cognitive sciences,terminology extraction,0
Cognitive sciences,word-sense disambiguation,0
Cognitive sciences,entity linking,0
Cognitive sciences,multiword expressions,0
Cognitive sciences,relationship extraction,0
Cognitive sciences,semantic parsing,0
Cognitive sciences,semantic role labelling,0
Cognitive sciences,coreference resolution,0
Cognitive sciences,discourse analysis,0
Cognitive sciences,implicit semantic role labelling,0
Cognitive sciences,recognizing textual entailment,0
Cognitive sciences,topic segmentation,0
Cognitive sciences,argument mining,0
Cognitive sciences,anaphora resolution,0
Economics,optical character recognition,0
Economics,speech recognition,0
Economics,speech segmentation,0
Economics,text-to-speech,0
Economics,word segmentation,0
Economics,lemmatization,0
Economics,morphological segmentation,0
Economics,part-of-speech tagging,0
Economics,stemming,0
Economics,grammar induction,0
Economics,sentence breaking ,0
Economics,parsing,0
Economics,lexical semantics,0
Economics,distributional semantics,0
Economics,named entity recognition,0
Economics,sentiment analysis,0
Economics,terminology extraction,0
Economics,word-sense disambiguation,0
Economics,entity linking,0
Economics,multiword expressions,0
Economics,relationship extraction,0
Economics,semantic parsing,0
Economics,semantic role labelling,0
Economics,coreference resolution,0
Economics,discourse analysis,0
Economics,implicit semantic role labelling,0
Economics,recognizing textual entailment,0
Economics,topic segmentation,0
Economics,argument mining,0
Economics,anaphora resolution,0
Business,optical character recognition,1
Business,speech recognition,0
Business,speech segmentation,0
Business,text-to-speech,0
Business,word segmentation,0
Business,lemmatization,0
Business,morphological segmentation,0
Business,part-of-speech tagging,0
Business,stemming,0
Business,grammar induction,0
Business,sentence breaking ,0
Business,parsing,0
Business,lexical semantics,0
Business,distributional semantics,0
Business,named entity recognition,0
Business,sentiment analysis,0
Business,terminology extraction,0
Business,word-sense disambiguation,0
Business,entity linking,0
Business,multiword expressions,0
Business,relationship extraction,0
Business,semantic parsing,0
Business,semantic role labelling,0
Business,coreference resolution,0
Business,discourse analysis,0
Business,implicit semantic role labelling,0
Business,recognizing textual entailment,0
Business,topic segmentation,0
Business,argument mining,0
Business,anaphora resolution,0
Finance,optical character recognition,0
Finance,speech recognition,0
Finance,speech segmentation,0
Finance,text-to-speech,0
Finance,word segmentation,0
Finance,lemmatization,0
Finance,morphological segmentation,0
Finance,part-of-speech tagging,0
Finance,stemming,0
Finance,grammar induction,0
Finance,sentence breaking ,0
Finance,parsing,0
Finance,lexical semantics,0
Finance,distributional semantics,0
Finance,named entity recognition,0
Finance,sentiment analysis,0
Finance,terminology extraction,0
Finance,word-sense disambiguation,0
Finance,entity linking,0
Finance,multiword expressions,0
Finance,relationship extraction,0
Finance,semantic parsing,0
Finance,semantic role labelling,0
Finance,coreference resolution,0
Finance,discourse analysis,0
Finance,implicit semantic role labelling,0
Finance,recognizing textual entailment,0
Finance,topic segmentation,0
Finance,argument mining,0
Finance,anaphora resolution,0
Tourism,optical character recognition,0
Tourism,speech recognition,0
Tourism,speech segmentation,0
Tourism,text-to-speech,0
